indicator,q_grade,q_label,g_grade,g_label,n_triggers,long_n,long_upsideMean,long_upsideMedian,long_adverseMean,long_upsideAdverseRatio,long_std,long_p25,long_p75,long_skew,long_maxUpside,long_maxAdverse,short_n,short_upsideMean,short_upsideMedian,short_adverseMean,short_upsideAdverseRatio,short_std,short_p25,short_p75,short_skew,short_maxUpside,short_maxAdverse,long_retMean,long_retMedian,long_winRate,long_profitFactor,long_var95,long_retentionMean,long_retentionMedian,short_retMean,short_retMedian,short_winRate,short_profitFactor,short_var95,short_retentionMean,short_retentionMedian,long_peak_day_median,long_peak_day_mean,long_median_day_mean,long_median_day_median,long_favorable_first_rate,short_peak_day_median,short_peak_day_mean,short_median_day_mean,short_median_day_median,short_favorable_first_rate,space_bias,normal_performance,short_competitiveness,path_tag,confidence,summary
excess_5d,3,中性,1,大降,9,9,21.0831,12.7192,-9.2696,2.2744,18.6328,11.7351,24.6268,1.0377,55.8382,-25.6388,9,9.2696,7.4214,-21.0831,0.4397,6.6903,6.0616,8.8623,2.175,25.6388,-55.8382,2.3946,0.2809,0.6667,2.0358,-11.2251,0.054,0.0786,-2.3946,-0.2809,0.3333,0.4912,-15.0884,-0.8289,-0.0463,12.0,12.7,12.2,12.0,0.2222,3.0,5.9,12.2,12.0,0.7778,多空拉扯,正向,0.4397,路径拉锯,低,多空空间接近，不宜单边操作
excess_5d,3,中性,2,小降,9,9,21.7933,16.0385,-7.9552,2.7395,13.9746,10.1956,34.3126,0.8633,45.8108,-17.5392,9,7.9552,8.0725,-21.7933,0.365,4.523,5.0787,9.0437,1.1606,17.5392,-45.8108,4.9515,3.1087,0.7778,9.9,-2.1615,0.1667,0.2286,-4.9515,-3.1087,0.2222,0.0872,-12.6984,-1.0325,-0.651,6.0,9.9,13.7,12.0,0.5556,10.0,11.3,13.7,12.0,0.4444,偏多,正向,0.365,路径拉锯,低,做多空间优势明显，中位数价格收益为正，路径拉锯
excess_5d,3,中性,3,稳定,14,14,10.9921,10.7227,-10.3161,1.0655,6.2243,6.2473,16.1724,0.4418,21.8104,-20.979,14,10.3161,10.9131,-10.9921,0.9385,5.5965,6.7927,12.8845,0.0592,20.979,-21.8104,-1.5528,-1.253,0.4286,0.462,-7.8336,-0.422,-0.1844,1.5528,1.253,0.5714,2.1645,-6.1173,0.7242,0.2902,15.5,12.8,12.8,11.5,0.2143,6.5,8.0,12.8,11.5,0.7857,偏空,负向,0.9385,先有利,中,做空空间优势明显，中位数价格收益为负，路径先有利
excess_5d,3,中性,4,小升,9,9,11.8154,12.6631,-10.3682,1.1396,11.0068,3.4188,14.3244,1.3317,35.9358,-15.1508,9,10.3682,11.738,-11.8154,0.8775,4.7573,6.9804,14.5299,-0.8134,15.1508,-35.9358,-0.7809,-1.2752,0.4444,0.7745,-8.8437,-0.4841,0.0055,0.7809,1.2752,0.5556,1.2912,-9.9222,-0.7734,0.1086,8.0,9.3,9.9,10.0,0.5556,8.0,10.8,9.9,10.0,0.4444,多空拉扯偏空,中性,0.8775,路径拉锯,低,做空竞争力上升，路径拉锯
excess_5d,3,中性,5,大升,5,5,20.7021,14.3351,-8.1177,2.5502,11.9499,12.95,25.7914,1.2361,39.4278,-14.9942,5,8.1177,5.8693,-20.7021,0.3921,5.9023,4.715,13.6157,0.2769,14.9942,-39.4278,3.3663,2.9056,0.8,6.1671,-2.5513,0.0806,0.1127,-3.3663,-2.9056,0.2,0.1622,-11.6835,-2.1151,-0.1938,10.0,11.0,11.0,12.0,0.2,2.0,5.8,11.0,12.0,0.8,偏多,正向,0.3921,先不利,低,做多空间优势明显，中位数价格收益为正，但常先浮亏再反转，执行压力大
excess_5d,4,偏热,1,大降,3,3,21.1221,28.0174,-4.5487,4.6435,13.1809,16.9706,28.7212,-1.7099,29.4251,-17.0331,3,4.5487,-1.4103,-21.1221,0.2154,10.8155,-1.6934,7.8114,1.7267,17.0331,-29.4251,5.3741,10.404,0.6667,2.725,-7.3712,-0.2288,0.3536,-5.3741,-10.404,0.3333,0.367,-14.5984,5.1824,7.3772,8.0,10.0,8.7,8.0,0.3333,1.0,7.3,8.7,8.0,0.6667,样本不足,-,,-,无效,仅3个样本，不足以生成画像
excess_5d,4,偏热,2,小降,7,7,16.6695,9.3907,-8.4978,1.9616,11.2928,8.5035,25.4057,0.6387,33.6794,-12.1985,7,8.4978,8.1568,-16.6695,0.5098,2.7253,6.4995,10.6261,0.119,12.1985,-33.6794,1.9442,0.0109,0.5714,2.8602,-3.1201,-0.0521,0.0012,-1.9442,-0.0109,0.4286,0.3496,-10.1656,-0.43,-0.0013,20.0,17.4,14.0,16.0,0.1429,8.0,7.3,14.0,16.0,0.8571,多空拉扯,正向,0.5098,路径拉锯,低,多空空间接近，不宜单边操作
excess_5d,4,偏热,3,稳定,8,8,10.3265,9.8876,-11.657,0.8859,3.32,8.4228,12.143,0.1105,14.8215,-17.5586,8,11.657,11.7472,-10.3265,1.1288,4.0554,11.2511,13.1966,-1.0092,17.5586,-14.8215,-2.5583,-2.8833,0.125,0.1499,-5.9924,-0.3082,-0.2757,2.5583,2.8833,0.875,6.6706,-1.9068,0.1075,0.2467,5.0,5.8,9.0,6.0,1.0,17.5,17.1,9.0,6.0,0.0,偏空,负向,1.1288,路径拉锯,低,做空空间优势明显，中位数价格收益为负，路径拉锯
excess_5d,4,偏热,4,小升,13,13,15.5581,12.8153,-8.3613,1.8607,11.4308,10.8308,22.0937,0.8776,39.4111,-15.6118,13,8.3613,8.1644,-15.5581,0.5374,4.891,5.4422,12.2208,-0.0585,15.6118,-39.4111,1.1978,-0.8101,0.4615,1.5209,-7.9902,-0.3108,-0.0691,-1.1978,0.8101,0.5385,0.6575,-12.2503,-2.0783,0.1086,6.0,9.2,8.9,7.0,0.6154,13.0,11.2,8.9,7.0,0.3846,多空拉扯,正向,0.5374,路径拉锯,中,多空空间接近，不宜单边操作
excess_5d,4,偏热,5,大升,13,13,16.7963,15.5616,-8.9996,1.8663,12.5016,10.7084,22.8098,0.8544,44.8322,-27.2902,13,8.9996,7.886,-16.7963,0.5358,6.1347,5.1508,9.8795,2.4395,27.2902,-44.8322,0.7433,1.1465,0.6154,1.2783,-12.0136,-0.1048,0.1389,-0.7433,-1.1465,0.3846,0.7823,-11.3241,-0.4805,-0.1454,16.0,13.8,11.2,11.0,0.3077,9.0,10.5,11.2,11.0,0.6923,多空拉扯,中性,0.5358,路径拉锯,中,多空空间接近，不宜单边操作
