Year,G_Bin,Q_Bin,Count,Ret_Mean,Win_Rate,Profit_Factor,VaR_95,Avg_Days,Status
2016,G4:微减(-1.5~0%),Q3:中位(40-55),120.0,0.09534849402550165,1.0,9.9,0.07602956705385415,15.183333333333334,交易活跃
2016,G4:微减(-1.5~0%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G4:微减(-1.5~0%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G5:微增(0~1%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G5:微增(0~1%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G5:微增(0~1%),Q3:中位(40-55),100.0,0.019290187891440415,0.88,9.9,0.0,24.64,交易活跃
2016,G5:微增(0~1%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G5:微增(0~1%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G6:中增(1~3%),Q1:低位(<20),37.0,-0.014458854421734599,0.32432432432432434,0.2873449729078861,-0.030027297543221115,21.35135135135135,交易活跃
2016,G6:中增(1~3%),Q2:中低(20-40),108.0,-0.03318032237104113,0.1111111111111111,0.011860174781522835,-0.04244482173174873,20.61111111111111,交易活跃
2016,G6:中增(1~3%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G6:中增(1~3%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G6:中增(1~3%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G7:暴增(>3%),Q1:低位(<20),50.0,0.020980135414918097,1.0,9.9,0.02028985507246385,33.32,交易活跃
2016,G7:暴增(>3%),Q2:中低(20-40),60.0,-0.009926829889625375,0.6333333333333333,0.40222435282837754,-0.045289855072463775,8.566666666666666,交易活跃
2016,G7:暴增(>3%),Q3:中位(40-55),70.0,-0.020751178400706248,0.0,0.0,-0.022222222222222286,7.628571428571429,交易活跃
2016,G7:暴增(>3%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2016,G7:暴增(>3%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G1:暴减(<-5%),Q1:低位(<20),667.0,0.028332391355680556,0.7286356821589205,17.95607739511161,-0.013513513513513492,21.347826086956523,交易活跃
2017,G1:暴减(<-5%),Q2:中低(20-40),232.0,0.02350862991204568,1.0,9.9,0.021611001964636604,24.20258620689655,交易活跃
2017,G1:暴减(<-5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G1:暴减(<-5%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G1:暴减(<-5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G2:大减(-5~-2.5%),Q1:低位(<20),386.0,0.021136095704503675,0.6968911917098446,3.462833395633899,-0.035100821508588544,17.27979274611399,交易活跃
2017,G2:大减(-5~-2.5%),Q2:中低(20-40),210.0,0.03409799722028304,1.0,9.9,0.018009478672985732,14.847619047619048,交易活跃
2017,G2:大减(-5~-2.5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G2:大减(-5~-2.5%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G2:大减(-5~-2.5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G3:中减(-2.5~-1.5%),Q1:低位(<20),114.0,-0.014710888162314594,0.0,0.0,-0.023048327137546374,10.333333333333334,交易活跃
2017,G3:中减(-2.5~-1.5%),Q2:中低(20-40),175.0,-0.010948666575807283,0.2,0.17069300766889092,-0.028880866425992805,19.102857142857143,交易活跃
2017,G3:中减(-2.5~-1.5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G3:中减(-2.5~-1.5%),Q4:警戒(55-70),4.0,0.05290456431535267,1.0,9.9,0.05290456431535267,11.0,交易活跃
2017,G3:中减(-2.5~-1.5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G4:微减(-1.5~0%),Q1:低位(<20),77.0,0.009353078721745846,1.0,9.9,0.009353078721745848,22.0,交易活跃
2017,G4:微减(-1.5~0%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G4:微减(-1.5~0%),Q3:中位(40-55),208.0,-0.015040422387353815,0.375,0.35270196778208807,-0.04889741131351868,20.16346153846154,交易活跃
2017,G4:微减(-1.5~0%),Q4:警戒(55-70),28.0,0.006964218047961893,0.8571428571428571,3.5349753694581154,-0.019230769230769332,17.571428571428573,交易活跃
2017,G4:微减(-1.5~0%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G5:微增(0~1%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G5:微增(0~1%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G5:微增(0~1%),Q3:中位(40-55),35.0,0.07947686116700212,1.0,9.9,0.0794768611670021,22.0,交易活跃
2017,G5:微增(0~1%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G5:微增(0~1%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G6:中增(1~3%),Q1:低位(<20),22.0,-0.11003334747805527,0.0,0.0,-0.11552090715804388,13.545454545454545,交易活跃
2017,G6:中增(1~3%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G6:中增(1~3%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G6:中增(1~3%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G6:中增(1~3%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2017,G7:暴增(>3%),Q1:低位(<20),22.0,0.011901576967035659,1.0,9.9,0.011547344110854531,23.545454545454547,交易活跃
2017,G7:暴增(>3%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
